,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,Kushtia,,,,,,,
2,,,,,,,,
3,Upazila, Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross, Productivity of crop
4,Kushtia Sadar,212,5800,38000,11740,55540,107020,192.7
5,Bheramara,158,5000,7528,7000,19528,41056,210
6,Daulatpur,200,12000,44200,16500,72700,156100,0.7
7,Khoksa,5,3960,11110,3334,18404,36182,197
8,Kumarkhali,120,5285,15595,20600,41480,98275,237
9,Mirpur,0,4000,18535,28625,51160,126945,2.48
10,Total,695,36045,134968,87799,258812,565578,839.88
