,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata Bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Thana/Upazila,Sonali Bank - Number of  branch,Sonali Bank - Account - S.D,Sonali Bank - Account - C.D,Sonali Bank - Account - F.D,Sonali Bank - Account - S.T.D,Janata Bank - Number of  branch,Janata Bank - Account - S.D,Janata Bank - Account - C.D,Janata Bank - Account - F.D,Janata Bank - Account - S.T.D
3,Kushtia Sadar,22,19907,152,1671,294,7,0,0,265,122
4,Bheramara,2,10411,700,112,80,1,0,0,23,4
5,Daulatpur,1,10802,695,117,44,2,1143,974,112,5
6,Khoksa,3,0,0,37,6,1,0,0,48,4
7,Kumarkhali,4,0,31,42,48,2,6468,1266,124,17
8,Mirpur,4,28409,8,90,42,0,0,0,0,0
9,Total,36,69529,1586,2069,514,13,7611,2240,572,152
