,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,,,,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3, Upazila,Labour,Labour,Labour,Labour,Labour,Labour
4, Upazila,Mason,Helper (Jogaly),Carpenter,Colour,Electric,Plumber
5,Chakaria,400,200,400,400,400,450
6,Cox's Bazar Sadar,400,250,350,500,300,500
7,Kutubdia,400,260,350,300,300,350
8,Moheshkhali,450,250,450,500,500,450
9,Pekua,500,350,450,450,380,380
10,Ramu,550,350,550,400,400,550
11,Teknaf,400,280,400,350,400,400
12,Ukhia,350,250,450,350,500,300
13,Average,431,274,425,406,398,423
