,0,1,2,3,4,5,6,7,8
0,"Number of madrasah, teacher and student under the madrasah education board 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of madrasah,Male,Female,Total,Male,Female,Total,Students per teacher
4,Fulchhari,7,95,0,95,2090,1344,3434,36
5,Gaibandha Sadar,21,251,32,283,1612,1338,2950,10
6,Gobindaganj,60,790,150,940,5287,4645,9932,11
7,Palashbari,18,180,54,234,1104,1642,2746,12
8,Sadullapur,116,435,25,460,9450,8200,17650,38
9,Saghata,20,266,26,292,4443,3598,8044,28
10,Sundarganj,54,820,44,864,7000,5960,12960,15
11,Total,296,2837,331,3168,30986,26727,57716,18
