,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2,Upazila,Household,Population Male,Population Female,Population Both sex,Sex ratio,Average size of household,Density per sq. km.
3,Bishwamvarpur,29336,78175,78206,156381,100,5.33,629
4,Chhatak,66724,197952,199690,397642,99,5.93,903
5,Dakshin Sunamganj,32033,90897,92884,183881,98,5.74,607
6,Derai,45040,122636,121054,243690,101,5.4,579
7,Dharmapasha,47965,122300,121164,243464,203,5.08,888
8,Doarabazar,42693,112240,116220,228460,96,5.35,868
9,Jagannathpur,42866,129964,129526,259490,100,6.05,705
10,Jamalganj,29935,84612,82648,167260,102,5.57,541
11,Shalla,20299,57316,59642,113743,96,5.6,444
12,Sunamganj Sadar,49557,139561,139458,279019,100,5.57,960
13,Tahirpur,37931,110555,104645,215200,105,5.59,682
14,Total,440332,1236106,1231862,2467968,100,5.58,659
