,0,1,2,3,4,5,6,7,8
0,Progress of rural electrification 2011,,,,,,,,
1,,,,,,,,,
2, Upazila,Number of electrified,Number of electrified,Number of electrified,Number of electrified,Number of electrified,Number of electrified,Number of electrified,Number of electrified
3, Upazila, Village,Residentia l holding,Large scale industry,Small scale Industry,Deep tube- well,Power pump,Commercial holding, Others
4,Araihazar,283,33232,4,4435,1366,0,2405,0
5,Bandar,149,42548,10,476,9,89,1385,0
6,Narayanganj Sadar,0,0,0,0,0,0,0,0
7,Rupganj,126,40817,42,1898,0,243,2305,0
8,Sonargaon,479,54322,102,639,34,0,1965,0
9,Total,1037,170919,158,7448,1409,332,8060,0
