,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,Satkhira,,,,,,,,,,
2,,,,,,,,,,,
3,Upazila,Sonali bank Number of branch Number of branch,Sonali bank Account S.D,Sonali bank Account C.D,Sonali bank Account F.D,Sonali bank Account S.T.D,Janata bank Number of branch Number of branch,Janata bank Account S.D,Janata bank Account C.D,Janata bank Account F.D,Janata bank Account S.T.D
4,Assasuni,2,1734,416,548,44,1,11431,608,137,18
5,Debhata,3,1079,76,51,9,0,0,0,0,0
6,Kalaroa,2,4770,632,180,47,0,0,0,0,0
7,Kaliganj,1,11455,946,465,46,2,9911,132,90,9
8,Satkhira Sadar,4,18200,2100,117,52,5,13200,1500,542,30
9,Shyamnagar,1,10463,1068,108,38,1,10344,452,101,7
10,Tala,5,22873,3242,476,110,1,8834,505,331,27
11,Total,18,70574,8480,1945,346,10,53720,3197,1201,91
