,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank
3, Upazila,Number of  branch,Account,Account,Account,Account,Number of  branch,Account,Account,Account,Account
4, Upazila,Number of  branch,S.D,C.D,F.D,S.T.D,Number of  branch,S.D,C.D,F.D,S.T.D
5,Dimla,4,10250,467,40,12,0,0,0,0,0
6,Domar,3,6196,264,60,9,0,0,0,0,0
7,Jaldhaka,4,9733,283,109,13,0,0,0,0,0
8,Kishorgonj,3,221,422,60,8,0,0,0,0,0
9,Nilphamary Sadar,4,9122,724,139,11,1,0,0,0,0
10,Sayedpur,2,8913,696,558,223,1,578,675,184,0
11,Total,20,44435,2856,966,276,2,578,675,184,0
