,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2, Upazila, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Bhandaria,5029,21,2,0,42,15,0
4,Kawkhali,1580,6,1,0,6,1,0
5,Mathbaria,7900,40,2,33,33,16,0
6,Nazirpur,9001,0,5,0,14,70,0
7,Nesarabad,6533,0,2,1,21,53,0
8,Pirojpur Sadar,6612,0,3,0,17,39,1
9,Zianagar,3725,0,3,0,10,12,0
10,Total,40380,67,18,34,143,206,1
