,0,1,2,3,4,5,6
0,"Number and area of pond, dighee and other area 2010-2011",,,,,,
1,,,,,,,
2,(Area in acre),(Area in acre),(Area in acre),(Area in acre),(Area in acre),(Area in acre),(Area in acre)
3,Upazila,Pond,Pond,Dighee,Dighee,Other area,Total area
4,Upazila,Number,Area,Number,Area,Other area,Total area
5,Gazipur Sadar,2128,2974,0,0,2171,5145
6,Kaliakair,2852,2500,5,10,5708,8218
7,Kaliganj,661,1521,1,20,14605,16146
8,Kapashia,2204,492.8,3,8,2857,29578
9,Sreepur,4350,1563,6,4.94,296,1864
10,Total,12195,9051,15,43,25637,60951
