,0,1,2,3,4,5,6,7,8
0,"Number of NGO school, teacher and student 2011",,,,,,,,
1,"
Upazila","Number of NGO
school",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students per
teacher"
2,"
Upazila","Number of NGO
school",Male,Female,Total,Male,Female,Total,"Students per
teacher"
3,Bagerhat Sadar,8,0,8,8,147,158,305,38
4,Kachua,8,0,8,8,136,148,284,36
5,Rampal,11,0,11,11,109,190,299,27
6,Sarankhola,78,68,111,179,1431,1826,3257,18
7,Chitalmari,42,0,42,42,524,846,1270,30
8,Morrelgonj,8,18,14,32,122,93,215,7
9,Mongla,12,4,8,12,230,270,500,41
10,Mollahat,19,0,19,19,198,361,559,29
11,Fakirhat,0,0,0,0,0,0,0,0
12,Total,186,90,221,311,2897,3892,6689,21
