,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,"
Upazila",Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank
2,"
Upazila","Number
of branch",Account,Account,Account,Account,"Number
of branch",Account,Account,Account,Account
3,"
Upazila","Number
of branch",S.D,C.D,F.D,S.T.D,"Number
of branch",S.D,C.D,F.D,S.T.D
4,Bagerhat Sadar,4,24257,97,250,9,1,78,0,0,0
5,Kachua,3,15126,98,4850,12,0,0,0,0,0
6,Rampal,2,8735,179,264,4,0,0,0,0,0
7,Sarankhola,1,6036,23,143,6,0,0,0,0,0
8,Chitalmari,2,14453,48,90,3,0,0,0,0,0
9,Morrelgonj,4,15218,118,20,25,0,0,0,0,0
10,Mongla,1,150,46,0,5,0,0,0,0,0
11,Mollahat,1,12317,26,14,5,1,6,48,60,0
12,Fakirhat,3,1094,142,258,8,0,0,0,0,0
13,Total,21,97386,777,5889,77,2,84,48,60,0
