,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
2,Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
3,Bagerhat Sadar,208,236,257,266,44.5,49.9,60.9,63.6,88,90,177
4,Kachua,78,93,100,97,33.0,42.5,62.0,56.8,31,32,63
5,Rampal,145,167,179,155,39.0,46.0,57.3,58.0,52,54,106
6,Sarankhola,93,108,114,119,31.3,41.8,56.0,58.9,33,34,67
7,Chitalmari,106,127,139,139,27.8,37.0,58.7,56.2,41,41,82
8,Morrelgonj,273,321,350,295,27.8,49.5,62.4,60.7,88,91,178
9,Mongla,97,138,149,137,38.9,42.8,56.1,57.2,43,42,86
10,Mollahat,103,117,126,131,26.8,31.6,48.9,50.0,37,39,76
11,Fakirhat,108,123,134,138,36.0,43.0,58.8,62.0,44,43,87
12,Total,1211,1430,1549,1476,36.0,41.2,58.7,59.0,457,465,922
