,0,1,2,3,4,5,6,7,8
0,"Number of Non-government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Bagerhat Sadar,61,482,190,672,9656,7966,17622,26
4,Kachua,16,134,49,183,2356,2748,5104,28
5,Rampal,33,327,66,456,6261,4670,10931,26
6,Sarankhola,13,119,23,142,2310,2998,5308,3
7,Chitalmari,28,251,72,323,4331,5101,9432,29
8,Morrelgonj,59,508,131,639,8817,10503,19320,31
9,Mongla,27,248,54,302,3709,4902,8611,28
10,Mollahat,23,197,48,245,4232,5839,10071,41
11,Fakirhat,27,215,77,292,3569,4708,8277,28
12,Total,287,2481,710,3254,45241,49435,94676,29
