,0,1,2,3,4,5,6
0,Number of community clinic and person engaged 2011,,,,,,
1,,,,,,,
2,Upazila/City corporation,Number of clinic,Number of health asst.,Number of FPI,Number of FWV,Number of FWA,Number of other staff
3,Anowara,2,2,1,2,7,10
4,Banshkhali,15,15,13,10,66,16
5,Boalkhali,15,33,8,12,65,13
6,Chandanaish,22,20,0,0,11,20
7,Chittagong City Corp.,68,84,52,118,120,93
8,Fatikchhari,20,171,16,15,77,43
9,Hathazari,21,33,1,21,54,42
10,Lohagara,28,40,0,0,0,0
11,Mirsharai,18,15,15,17,75,148
12,Patiya,21,61,18,25,112,26
13,Rangunia,39,41,0,2,39,39
14,Raozan,7,120,9,15,80,25
15,Sandwip,10,13,15,19,25,38
16,Satkania,35,52,15,13,52,39
17,Sitakunda,5,41,10,12,56,19
18,Total,326,741,173,281,839,571
