,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of  hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of technician, Number of other staff,Number of patient under health facilitiy,Number of patient under health facilitiy,Number of patient under health facilitiy,Number of patient under health facilitiy
3,  Upazila,Number of  hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of technician, Number of other staff,Indoor,Indoor,Outdoor,Outdoor
4,  Upazila,Number of  hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of technician, Number of other staff,Male,Female,Male,Female
5,Dhaka Metropolitan, 592, 16174, 5915, 3137, 1160, 10480, 1269723, 9422635, 7479032, 6013335
6,Dhamrai,2,35,6,8,5,12,598,786,1671,2122
7,Dohar,11,59,11,39,18,140,1760,4208,8900,22870
8,Keraniganj,16,231,191,129,49,348,23000,36000,46000,70000
9,Nawabganj,13,67,31,69,20,138,4798,8463,46261,72756
10,Savar,33,1156,138,444,92,1416,52280,67015,96530,102295
11,Total,667,17722,6292,3826,1344,12534,1352159,9539107,7678394,6283378
