,0,1,2,3,4,5
0,"Name of land, river, sea port, important or historical,  tourist places, objects, important , famous crop or food production and Customer care service provider,  cell phone operators 2011",,,,,
1,Upazila,Name of land/ river port,Name of important or historical/ tourist places/objects,"Name of important
/famous crop or food production",Customer care service provider/ cell phone operators,"Distance between district head quarter & upazila by
road (km)"
2,"
Basail","
-","Nothkhola Monument, Bashulia, Rajbari,","Paddy, Mustard, Jute, Wheat","Robi, Grameen, Banglalink,
Citycell","
16"
3,Bhuapur,-,"Nilkuthi, Jahajmara Ghat, Shialkhol Bazar","Paddy ,Mustard, Jute, Wheat","Robi, Grameen, Banglalink",29
4,"
Delduar","
-","Atia Mosque, Zaminder House, Shah Adam
Kashmirir Mazar, Pathrail Tater Shari, Lauhati Hat","
Paddy, Wheat, Jute, Potato","Grameen, Banglalink, Citycell","
16"
5,"
Dhanbari","
-","Zaminder House, Dhanbari Mosque","
Paddy , Jute, Wheat","Grameen, Banglalink,
Aktel","
57"
6,"
Ghatail","
-","Joroka, Sagordighi, Pakutia Ashram, Dholapara Mosque","Paddy, Jute, Banana, Pineapple","Grameen, Banglalink,
Robi, Citycell","
30"
7,"
Gopalpur","
-","Hemnagar Rajbari & College,
Khamarpara Mosque, Parir Dalan","Paddy, Jute, Musterd, Wheat","Grameen,
Banglalink, Robi, Citycell","
45"
8,"
Kalihati","
-","Bangabandhu Bridge, Jamuna Resort, Kadim
Hamjani Mosque","Paddy, Jute, Musterd, Potato","Grameen, Banglalink","
21"
9,"
Madhupur","
-","Madhupur National Park, Dokhola Rest House,
Sotanali dege","Pine Apple,Turmeric, Banana, Zinger, Aram","Grameen, Robi, Airtel,
Banglalink","
50"
10,"

Mirzapur","

-","Mohara Zaminder House, Kumudini Hospital, Pakulla Zaminder House, Mirzapur Cadet College, Bharteshari
Homes","
Paddy, Musterd, Wheat","
Grameen, Robi, Banglalink, Citycell","

30"
11,"
Nagarpur","
-","Upendra Sorobar, Goyhata
moth, Nagarpur Zaminder House","
Paddy, Wheat, Jute","Grameen, Banglalink","
27"
12,"
Sakhipur","
-","Kokila Pabor Monument, Freedom Fighter Monument.
Pakutia Zaminder House","Paddy, Mango, Turmeric, Jack Fruit","Grameen, Banglalink,
Robi, Citycell","
36"
13,"
Tangail Sadar","

-","Mawlana Abdul Hamid Khan Bhasani Majar, Karatia Zaminder House, Traditional Porabari, Govt. Sadat
College, Karatia","

Paddy, Jute, Wheat","Grameen, Banglalink, Airtel,Banglalink Citycell,
TeleTalk","

1"
