,0,1,2,3,4
0,Number of Fisherman and Production of Fish in following years,,,,
1,Khulna,,,,
2,(Production in metric tons),,,,
3,Upazila/city corporation,2010-11 Number,2010-11 Production,2009-10 Number,2009-10 Production
4,Batiaghata,2946,1238,2912,1227
5,Dacope,2492,3788,2492,3696
6,Dighalia,36,1037,33,770
7,Dumuria,1809,16120,1809,11972
8,Khulna City Corporation,100,135,115,140
9,Koyra,17175,12200,16650,11800
10,Paikgachha,1677,204,1677,200
11,Phultala,161,180,177,140
12,Rupsa,2074,4286,2041,3895
13,Terokhada,1900,1180,1750,1151
14,Total,30370,40367,29656,34991
