,0,1,2,3,4,5,6,7,8
0,"Number of technical and vocational institution, teacher and student 2011",,,,,,,,
1,"
Upazila","
Institution",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students
per teacher"
2,"
Upazila","
Institution",Male,Female,Total,Male,Female,Total,"Students
per teacher"
3,Alfadanga,0,0,0,0,0,0,0,0
4,Bhanga,0,0,0,0,0,0,0,0
5,Boalmari,1,21,2,23,570,126,696,30
6,Charbhadrashon,0,0,0,0,0,0,0,0
7,Faridpur Sadar,10,209,37,246,4725,993,5718,24
8,Madhukhali,2,7,1,8,286,110,396,50
9,Nagarkanda,0,0,0,0,0,0,0,0
10,Sadarpur,2,6,3,9,70,8,150,17
11,Saltha,0,0,0,0,0,0,0,0
12,Total,15,243,43,286,5651,1237,6960,24
