,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3,  Upazila,Number of branch of all private commercial banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower,Total debt (crore tk),Total debt (crore tk)
4,  Upazila,Number of branch of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,Akkelpur,0,0,0,0,0,0,0,0,0,0,0
6,Joypurhat sadar,7,121,0,0,0,784,21,905,21,40.65,2
7,Kalai,0,0,0,0,0,0,0,0,0,0,0
8,Khetlal,0,0,0,0,0,0,0,0,0,0,0
9,Panchbibi,0,0,0,0,0,0,0,0,0,0,0
10,Total,7,121,0,0,0,784,21,905,21,40.65,2
