,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,,,,,,
2,Upazila/city corporation,Total area,Permanent cropped area,Temporary cropped area,Permanent fallow area,Others
3,Agailjhara,38413,2849,29553,4075,1936
4,Babuganj,40742,2282,12926,177,25357
5,Bakerganj,58412,7116,41412,323,9561
6,Banaripara,32965.121,4200,20100,100,8565.12
7,Barisal city corporation,14947,708,5805,55,8379
8,Barisal sadar,63475,6194,38045,137,19099
9,Gaurnadi,38400,5200,26509,21,6670
10,Hizla,90121,5160,42660,28246,14055
11,Mehendiganj,107640.13,7555.13,59130,1260,39695
12,Muladi,56934,3663,37800,210,114
13,Wazirpur,61373,5263,35335,251,20524
14,Total,603422.25,50190.13,349275,34855,153955.12
