,0,1,2,3,4
0,"Area of high, medium and low land 2008",,,,
1,Upazila,High land,Medium land,Low land,Total land
2,Adamdighi,247,22230,11566,34043
3,Bogra sadar,10500,17075,1675,29250
4,Dhunat,18782,28985,2925,50692
5,Dhupchanchia,8700,22965,2100,33765
6,Gabtali,11767,31055,6647,49469
7,Kahaloo,3830,40313,5747,49890
8,Nandigram,15069,40206,5103,60378
9,Sariakandi,50,41210,5000,46260
10,Shajahanpur,27523,12605,1822,41950
11,Sherpur,5162,41280,10915,57357
12,Shibganj,2018,55940,135,58093
13,Sonatola,6864,16675,4280,27819
14,Total,110512,370539,57915,538966
