,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,"
Upazila",Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
2,"
Upazila","Number of
branch",Account,Account,Account,Account,"Number of
branch",Account,Account,Account,Account
3,"
Upazila","Number of
branch",S.D,C.D,F.D,S.T.D,"Number of
branch",S.D,C.D,F.D,S.T.D
4,Bakshiganj,1,8958,1409,1300,12,2,10171,938,75,32
5,Dewanganj,3,1688,11062,220,47,1,294,34,17,4
6,Islampur,1,6500,600,0,35,1,297,58,30,1
7,Jamalpur Sadar,7,24847,255,862,171,3,9916,2400,98,53
8,Madarganj,1,15198,792,443,56,2,28200,556,156,28
9,Melandaha,2,513,28,260,29,1,774,262,2,3
10,Sarishabari,4,2900,3372,193,32,2,103,1672,81,23
11,Total,19,60604,17518,3278,382,12,49755,5920,459,144
