,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,,,,,,,,
2,Upazila ,Number of union health centre,Health services ,Sterilization ,M.R. ,Injection/ copper-T ,Oral pill/ condoms ,Number of vaccination centre 
3,Dighinala,3,43802,99,64,705,702,120
4,Khagrachhari Sadar,5,26465,223,296,1591,1107,142
5,Laxshmichhari,2,4466,0,53,653,118,27
6,Mahalchhari,3,12670,113,0,4868,8256,121
7,Manikchhari,0,0,0,0,0,0,0
8,Matiranga,8,29261,2,21,46,501,172
9,Panchhari,2,6924,467,0,965,5472,96
10,Ramgarh,3,10800,0,42,135,1232,72
11,Total,26,134388,904,476,8963,17388,750
