,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,"
Upazila",Pubali bank,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank
2,"
Upazila","Number
of branch",Account,Account,Account,Account,"Number
of branch",Account,Account,Account,Account
3,"
Upazila","Number
of branch",S.D,C.D,F.D,S.T.D,"Number
of branch",S.D,C.D,F.D,S.T.D
4,Azmirigonj,1,1500,278,110,8,0,0,0,0,0
5,Bahubal,0,0,0,0,0,0,0,0,0,0
6,Baniachang,1,0,334,96,13,0,0,0,0,0
7,Chunarughat,3,1964,2540,1735,22,0,0,0,0,0
8,Habiganj Sadar,0,0,0,0,0,0,0,0,0,0
9,Lakhai,0,0,0,0,0,0,0,0,0,0
10,Madhabpur,0,0,0,0,0,0,0,0,0,0
11,Nabiganj,1,4971,208,58,0,1,4971,208,10,12
12,Total,6,8435,3360,1999,43,1,4971,208,10,12
