,0,1,2,3,4,5,6
0,"Area and production of brinjal, lady s finger and arum 2010-11",,,,,,
1,Bhola,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3, Upazila,Brinjal - Area,Brinjal - Production,Ladys finger - Area,Ladys finger - Production,Arum - Area,Arum - Production
4,Bhola Sadar,253,681,104,156,71,182
5,Burhanuddin,210,534,210,564,100,468
6,Char Fasson,208,245,38,56,54,64.8
7,Daulatkhan,43,106,21,139,130,816
8,Lalmohan,59,311,26,19,22,57
9,Manpura,18,16,8,5,0,0
10,Tazumuddin,58,214,10,17,34,153
11,Total,849,2107,417,956,411,1740.8
